GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "48000","Texas",6,SAGDP5S,1,"...","All industry total","Thousands of dollars",-133075,-160609,-176555,-203235,-175447,-219828,-224913,-264540,-230139,-333634,-275486,-110070,-140933,-166437,-270637,-335076,-303339,-330228,-460037,-636064,-1021150,-948261,-957796,-1100981,-1490710,-1470076,-1155477,-1200576,-1200178,-1382821,-1866519,-1500413,-1584828,-1573162,-1614744
 "48000","Texas",6,SAGDP5S,2,"..."," Private industries","Thousands of dollars",-131153,-158521,-174172,-200663,-172511,-216286,-220355,-258321,-221457,-320427,-261430,-89394,-114305,-128755,-217093,-270886,-226135,-239281,-342485,-470811,-836379,-766598,-755080,-906984,-1272110,-1220863,-897175,-926196,-933231,-1013981,-1441626,-1012648,-1019602,-931496,-1045792
 "48000","Texas",6,SAGDP5S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",-105572,-130643,-146544,-164142,-135616,-179229,-183492,-209048,-160419,-219064,-168091,-27033,-44869,-44150,-102345,-118535,-58679,-47190,-91326,-110914,-459158,-374150,-333706,-460665,-759228,-736300,-469083,-476449,-460126,-481584,-843273,-431167,-421497,-315153,-393580
 "48000","Texas",6,SAGDP5S,4,"[01-02]","     Farms","Thousands of dollars",-105572,-130643,-146544,-164142,-135616,-179229,-183492,-209048,-160419,-219064,-168091,-27033,-44869,-44150,-102345,-118535,-58679,-47190,-91326,-110914,-459158,-374150,-333706,-460665,-759228,-736300,-469083,-476449,-460126,-481584,-843273,-431167,-421497,-315153,-393580
 "48000","Texas",6,SAGDP5S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "48000","Texas",6,SAGDP5S,6,"B","   Mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-22,-8,-5,-12,-60,-83,-78,-19,-37,-20,0,0,0,0,0,0
 "48000","Texas",6,SAGDP5S,7,"10","     Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "48000","Texas",6,SAGDP5S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-22,-8,-5,-12,-60,-83,-78,-19,-37,-20,0,0,0,0,0,0
 "48000","Texas",6,SAGDP5S,9,"13","     Oil and gas extraction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "48000","Texas",6,SAGDP5S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
